tick,agent_id,agent_type,x,y,rank
1,10000000,0,12,10,0
1,10000001,0,6,0,0
1,10000002,0,0,3,0
1,10000003,0,12,18,0
1,10000004,0,12,19,0
1,10000005,0,11,18,0
1,10000006,0,16,13,0
1,10000007,0,7,17,0
1,10000008,0,0,15,0
1,10000009,0,16,3,0
1,10000010,0,17,0,0
1,10000011,0,1,5,0
1,10000012,0,8,8,0
1,10000013,0,0,2,0
1,10000014,0,13,10,0
1,10000015,0,5,12,0
1,10000016,0,7,9,0
1,10000017,0,16,19,0
1,10000018,0,13,19,0
1,10000019,0,14,7,0
1,10000020,3,17,2,0
1,10000021,3,11,14,0
1,10000022,3,16,10,0
1,10000023,3,7,6,0
1,10000024,3,8,9,0
1,10000025,3,14,17,0
1,10000026,3,1,18,0
1,10000027,3,10,7,0
1,10000028,3,13,11,0
1,10000029,3,5,6,0
1,10000030,3,14,11,0
1,10000031,3,10,6,0
1,10000032,3,15,7,0
1,10000033,3,6,17,0
1,10000034,3,5,4,0
1,10000035,3,14,12,0
1,10000036,4,0,1,0
1,10000037,4,7,16,0
1,10000038,4,8,15,0
1,10000039,4,6,4,0
1,10000040,4,15,17,0
1,10000041,4,1,1,0
1,10000042,4,13,6,0
1,10000043,4,11,3,0
1,10000044,4,17,9,0
1,10000045,4,17,15,0
1,10000046,4,14,4,0
1,10000047,4,15,1,0
1,10000048,4,11,8,0
1,10000049,4,19,3,0
1,10000050,4,18,1,0
1,10000051,4,12,11,0
1,10000052,4,17,5,0
1,10000053,4,18,13,0
1,10000054,4,17,3,0
1,10000055,4,15,18,0
1,10000056,4,0,7,0
1,10000057,4,12,2,0
1,10000058,4,10,12,0
1,10000059,4,9,19,0
1,10000060,4,3,9,0
1,10000061,4,0,8,0
1,10000062,4,18,12,0
1,10000063,4,6,19,0
1,10000064,4,0,9,0
1,10000065,4,16,15,0
1,10000066,4,8,10,0
1,10000067,4,4,15,0
1,10000068,4,1,8,0
1,10000069,4,5,14,0
1,10000070,4,14,14,0
1,10000071,4,18,18,0
1,10000072,4,3,2,0
1,10000073,4,2,14,0
1,10000074,4,19,18,0
1,10000075,4,2,17,0
1,10000076,4,1,19,0
1,10000077,4,7,2,0
1,10000078,4,10,19,0
1,10000079,4,4,9,0
1,10000080,4,17,16,0
1,10000081,4,2,18,0
1,10000082,4,19,5,0
1,10000083,4,13,8,0
1,10000084,4,13,0,0
1,10000085,4,16,14,0
1,10000086,4,3,12,0
1,10000087,4,10,0,0
2,10000000,0,12,10,0
2,10000001,0,6,0,0
2,10000002,0,0,3,0
2,10000003,0,12,18,0
2,10000004,0,12,19,0
2,10000005,0,11,18,0
2,10000006,0,16,13,0
2,10000007,0,7,17,0
2,10000008,0,0,15,0
2,10000009,0,16,3,0
2,10000010,0,17,0,0
2,10000011,0,1,5,0
2,10000012,0,8,8,0
2,10000013,0,0,2,0
2,10000014,0,13,10,0
2,10000015,0,5,12,0
2,10000016,0,7,9,0
2,10000017,0,16,19,0
2,10000018,0,13,19,0
2,10000019,0,14,7,0
2,10000020,3,17,2,0
2,10000021,3,11,14,0
2,10000022,3,16,10,0
2,10000023,3,7,6,0
2,10000024,3,8,9,0
2,10000025,3,14,17,0
2,10000026,3,1,18,0
2,10000027,3,10,7,0
2,10000028,3,13,11,0
2,10000029,3,5,6,0
2,10000030,3,14,11,0
2,10000031,3,10,6,0
2,10000032,3,15,7,0
2,10000033,3,6,17,0
2,10000034,3,5,4,0
2,10000035,3,14,12,0
2,10000036,4,0,1,0
2,10000037,4,7,16,0
2,10000038,4,8,15,0
2,10000039,4,6,4,0
2,10000040,4,15,17,0
2,10000041,4,1,1,0
2,10000042,4,13,6,0
2,10000043,4,11,3,0
2,10000044,4,17,9,0
2,10000045,4,17,15,0
