tick,agent_id,agent_type,x,y,rank
1,10000088,5,18,14,0
1,10000089,5,6,0,0
1,10000090,5,1,15,0
1,10000091,5,2,10,0
1,10000092,5,17,18,0
1,10000093,5,5,1,0
1,10000094,5,9,16,0
1,10000095,5,12,1,0
1,10000096,5,13,6,0
1,10000097,5,4,8,0
1,10000098,5,17,19,0
1,10000099,5,2,11,0
1,10000100,5,15,5,0
1,10000101,5,5,4,0
1,10000102,5,4,17,0
1,10000103,5,4,4,0
1,10000104,5,2,2,0
1,10000105,5,16,11,0
1,10000106,5,17,11,0
1,10000107,5,15,16,0
1,10000108,5,1,11,0
1,10000109,5,9,5,0
1,10000110,5,9,8,0
1,10000111,5,16,12,0
1,10000112,5,14,19,0
1,10000113,5,12,7,0
1,10000114,5,4,11,0
1,10000115,5,0,16,0
1,10000116,5,18,2,0
1,10000117,5,16,8,0
1,10000118,5,0,18,0
1,10000119,5,18,0,0
1,10000120,5,11,16,0
1,10000121,5,15,8,0
1,10000122,5,17,16,0
1,10000123,5,2,0,0
1,10000124,5,2,7,0
1,10000125,5,2,1,0
1,10000126,5,5,13,0
1,10000127,5,10,5,0
1,10000128,5,19,14,0
1,10000129,5,12,18,0
1,10000130,5,15,2,0
1,10000131,5,0,17,0
1,10000132,5,8,1,0
1,10000133,5,9,7,0
1,10000134,5,8,8,0
1,10000135,5,6,9,0
1,10000136,5,9,19,0
1,10000137,5,13,15,0
1,10000138,5,0,6,0
1,10000139,5,19,5,0
1,10000140,5,10,17,0
1,10000141,5,12,17,0
1,10000142,5,3,10,0
1,10000143,5,12,6,0
1,10000144,5,11,19,0
1,10000145,5,14,6,0
1,10000146,5,1,3,0
1,10000147,5,5,17,0
1,10000148,5,5,16,0
1,10000149,5,10,19,0
1,10000150,5,11,18,0
1,10000151,5,19,4,0
1,10000152,5,11,2,0
1,10000153,5,2,13,0
1,10000154,5,0,14,0
1,10000155,5,16,3,0
1,10000156,5,13,7,0
1,10000157,5,11,11,0
1,10000158,5,14,11,0
1,10000159,5,14,3,0
1,10000160,5,15,10,0
1,10000161,5,6,1,0
1,10000162,5,0,11,0
1,10000163,5,8,0,0
1,10000164,5,10,15,0
1,10000165,5,10,11,0
1,10000166,5,19,6,0
1,10000167,5,15,3,0
1,10000168,5,7,13,0
1,10000169,5,11,3,0
1,10000170,5,13,11,0
1,10000171,5,18,12,0
1,10000172,5,1,1,0
1,10000173,5,10,9,0
1,10000174,5,11,14,0
1,10000175,5,6,3,0
1,10000176,5,18,1,0
1,10000177,5,14,14,0
1,10000178,5,6,7,0
1,10000179,5,19,17,0
1,10000180,5,4,9,0
1,10000181,5,2,15,0
1,10000182,5,18,18,0
1,10000183,5,5,2,0
1,10000184,5,11,1,0
1,10000185,5,13,12,0
1,10000186,5,19,9,0
1,10000187,5,0,3,0
2,10000088,5,18,14,0
2,10000089,5,6,0,0
2,10000090,5,1,15,0
2,10000091,5,2,10,0
2,10000092,5,17,18,0
2,10000093,5,5,1,0
2,10000094,5,9,16,0
2,10000095,5,12,1,0
2,10000096,5,13,6,0
2,10000097,5,4,8,0
2,10000098,5,17,19,0
2,10000099,5,2,11,0
2,10000100,5,15,5,0
2,10000101,5,5,4,0
2,10000102,5,4,17,0
2,10000103,5,4,4,0
2,10000104,5,2,2,0
2,10000105,5,16,11,0
2,10000106,5,17,11,0
2,10000107,5,15,16,0
2,10000108,5,1,11,0
2,10000109,5,9,5,0
2,10000110,5,9,8,0
2,10000111,5,16,12,0
2,10000112,5,14,19,0
2,10000113,5,12,7,0
2,10000114,5,4,11,0
2,10000115,5,0,16,0
2,10000116,5,18,2,0
2,10000117,5,16,8,0
2,10000118,5,0,18,0
2,10000119,5,18,0,0
2,10000120,5,11,16,0
2,10000121,5,15,8,0
2,10000122,5,17,16,0
2,10000123,5,2,0,0
2,10000124,5,2,7,0
